Gene	Gene description	Concentration
HAVCR2	Hepatitis A virus cellular receptor 2	9.9 ug/L
LNPEP	Leucyl and cystinyl aminopeptidase	9.8 ug/L
NIF3L1	NGG1 interacting factor 3 like 1	9.8 ug/L
CACNA2D2	Calcium voltage-gated channel auxiliary subunit alpha2delta 2	9.7 ug/L
CHRDL2	Chordin like 2	9.7 ug/L
LTBP4	Latent transforming growth factor beta binding protein 4	9.7 ug/L
PSMA3	Proteasome 20S subunit alpha 3	9.7 ug/L
PSMB2	Proteasome 20S subunit beta 2	9.7 ug/L
MYH14	Myosin heavy chain 14	9.6 ug/L
CDH6	Cadherin 6	9.6 ug/L
SLPI	Secretory leukocyte peptidase inhibitor	9.6 ug/L
QSOX2	Quiescin sulfhydryl oxidase 2	9.6 ug/L
S100A4	S100 calcium binding protein A4	9.6 ug/L
GPC1	Glypican 1	9.5 ug/L
ARG1	Arginase 1	9.5 ug/L
SDK1	Sidekick cell adhesion molecule 1	9.5 ug/L
TPP1	Tripeptidyl peptidase 1	9.5 ug/L
LASP1	LIM and SH3 protein 1	9.4 ug/L
RCN1	Reticulocalbin 1	9.4 ug/L
HPRT1	Hypoxanthine phosphoribosyltransferase 1	9.4 ug/L
THBS3	Thrombospondin 3	9.4 ug/L
THUMPD1	THUMP domain containing 1	9.3 ug/L
EPHA4	EPH receptor A4	9.3 ug/L
HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	9.3 ug/L
CEACAM8	CEA cell adhesion molecule 8	9.2 ug/L
HMCN1	Hemicentin 1	9.2 ug/L
ABRACL	ABRA C-terminal like	9.2 ug/L
BMP1	Bone morphogenetic protein 1	9.2 ug/L
CAPN1	Calpain 1	9.1 ug/L
SERPINB3	Serpin family B member 3	9.1 ug/L
COL12A1	Collagen type XII alpha 1 chain	9.1 ug/L
PXDN	Peroxidasin	9.1 ug/L
DBI	Diazepam binding inhibitor, acyl-CoA binding protein	9.1 ug/L
CAPNS1	Calpain small subunit 1	9.0 ug/L
TAGLN3	Transgelin 3	9.0 ug/L
GFRA2	GDNF family receptor alpha 2	9.0 ug/L
CDHR2	Cadherin related family member 2	8.8 ug/L
ATP5F1A	ATP synthase F1 subunit alpha	8.8 ug/L
CTSH	Cathepsin H	8.7 ug/L
CSTB	Cystatin B	8.7 ug/L
PRSS27	Serine protease 27	8.7 ug/L
CNN2	Calponin 2	8.4 ug/L
CPS1	Carbamoyl-phosphate synthase 1	8.3 ug/L
S100A12	S100 calcium binding protein A12	8.3 ug/L
H1-4	H1.4 linker histone, cluster member	8.3 ug/L
CADM4	Cell adhesion molecule 4	8.2 ug/L
SFTPD	Surfactant protein D	8.2 ug/L
COL6A2	Collagen type VI alpha 2 chain	8.2 ug/L
SERPINB12	Serpin family B member 12	8.2 ug/L
TNFRSF1B	TNF receptor superfamily member 1B	8.1 ug/L
NBL1	NBL1, DAN family BMP antagonist	8.1 ug/L
SPINK1	Serine peptidase inhibitor Kazal type 1	8.0 ug/L
SEMA3F	Semaphorin 3F	7.9 ug/L
BOC	BOC cell adhesion associated, oncogene regulated	7.9 ug/L
S100A11	S100 calcium binding protein A11	7.9 ug/L
DNER	Delta/notch like EGF repeat containing	7.9 ug/L
SPTB	Spectrin beta, erythrocytic	7.8 ug/L
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	7.8 ug/L
FGL2	Fibrinogen like 2	7.8 ug/L
RNPEP	Arginyl aminopeptidase	7.8 ug/L
SLURP1	Secreted LY6/PLAUR domain containing 1	7.7 ug/L
ROR1	Receptor tyrosine kinase like orphan receptor 1	7.7 ug/L
AKR1A1	Aldo-keto reductase family 1 member A1	7.6 ug/L
LYPD3	LY6/PLAUR domain containing 3	7.6 ug/L
MSTN	Myostatin	7.6 ug/L
HTRA1	HtrA serine peptidase 1	7.6 ug/L
CDH17	Cadherin 17	7.5 ug/L
PSME1	Proteasome activator subunit 1	7.5 ug/L
GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	7.5 ug/L
MANF	Mesencephalic astrocyte derived neurotrophic factor	7.5 ug/L
SEMA4D	Semaphorin 4D	7.5 ug/L
FGFR4	Fibroblast growth factor receptor 4	7.4 ug/L
SPINT1	Serine peptidase inhibitor, Kunitz type 1	7.4 ug/L
PLEC	Plectin	7.4 ug/L
TRHDE	Thyrotropin releasing hormone degrading enzyme	7.3 ug/L
MYL3	Myosin light chain 3	7.3 ug/L
ECI1	Enoyl-CoA delta isomerase 1	7.3 ug/L
PARVA	Parvin alpha	7.3 ug/L
PGLS	6-phosphogluconolactonase	7.2 ug/L
PRL	Prolactin	7.2 ug/L
MYL6B	Myosin light chain 6B	7.2 ug/L
CPM	Carboxypeptidase M	7.1 ug/L
HNRNPK	Heterogeneous nuclear ribonucleoprotein K	7.1 ug/L
OPCML	Opioid binding protein/cell adhesion molecule like	7.1 ug/L
FSTL3	Follistatin like 3	7.0 ug/L
SEMG1	Semenogelin 1	7.0 ug/L
KLK3	Kallikrein related peptidase 3	7.0 ug/L
S100A6	S100 calcium binding protein A6	7.0 ug/L
PRDX5	Peroxiredoxin 5	6.9 ug/L
TMEM25	Transmembrane protein 25	6.9 ug/L
KRTAP4-8	Keratin associated protein 4-8	6.9 ug/L
TXNDC5	Thioredoxin domain containing 5	6.9 ug/L
SUSD2	Sushi domain containing 2	6.8 ug/L
PIK3IP1	Phosphoinositide-3-kinase interacting protein 1	6.8 ug/L
CRTAM	Cytotoxic and regulatory T cell molecule	6.8 ug/L
TKFC	Triokinase and FMN cyclase	6.8 ug/L
CXCL16	C-X-C motif chemokine ligand 16	6.8 ug/L
SEZ6L	Seizure related 6 homolog like	6.7 ug/L
CAPZB	Capping actin protein of muscle Z-line subunit beta	6.6 ug/L
ARPC2	Actin related protein 2/3 complex subunit 2	6.6 ug/L
RAB27B	RAB27B, member RAS oncogene family	6.5 ug/L
CHGB	Chromogranin B	6.5 ug/L
GBE1	1,4-alpha-glucan branching enzyme 1	6.5 ug/L
CD58	CD58 molecule	6.5 ug/L
TFF3	Trefoil factor 3	6.5 ug/L
SERPINA12	Serpin family A member 12	6.5 ug/L
HPSE	Heparanase	6.5 ug/L
APLP1	Amyloid beta precursor like protein 1	6.4 ug/L
CRYZ	Crystallin zeta	6.4 ug/L
ASS1	Argininosuccinate synthase 1	6.4 ug/L
ANXA3	Annexin A3	6.4 ug/L
CES2	Carboxylesterase 2	6.4 ug/L
ITLN1	Intelectin 1	6.4 ug/L
NELL2	Neural EGFL like 2	6.4 ug/L
NOTCH4	Notch receptor 4	6.4 ug/L
GH1	Growth hormone 1	6.4 ug/L
CCL18	C-C motif chemokine ligand 18	6.4 ug/L
NID2	Nidogen 2	6.3 ug/L
TAGLN	Transgelin	6.3 ug/L
CST1	Cystatin SN	6.3 ug/L
GLRX	Glutaredoxin	6.3 ug/L
ITGA1	Integrin subunit alpha 1	6.3 ug/L
FYB1	FYN binding protein 1	6.2 ug/L
PSMB5	Proteasome 20S subunit beta 5	6.2 ug/L
GALNT7	Polypeptide N-acetylgalactosaminyltransferase 7	6.2 ug/L
TSKU	Tsukushi, small leucine rich proteoglycan	6.2 ug/L
THSD7A	Thrombospondin type 1 domain containing 7A	6.1 ug/L
SNX1	Sorting nexin 1	6.1 ug/L
TXNRD1	Thioredoxin reductase 1	6.1 ug/L
CBLN1	Cerebellin 1 precursor	6.0 ug/L
PTPN6	Protein tyrosine phosphatase non-receptor type 6	6.0 ug/L
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	6.0 ug/L
DSC3	Desmocollin 3	6.0 ug/L
PCLO	Piccolo presynaptic cytomatrix protein	6.0 ug/L
ERVMER34-1	Endogenous retrovirus group MER34 member 1, envelope	6.0 ug/L
MSMB	Microseminoprotein beta	6.0 ug/L
PSME2	Proteasome activator subunit 2	5.9 ug/L
CAND1	Cullin associated and neddylation dissociated 1	5.9 ug/L
CCN2	Cellular communication network factor 2	5.9 ug/L
RAD23B	RAD23 homolog B, nucleotide excision repair protein	5.9 ug/L
NECTIN2	Nectin cell adhesion molecule 2	5.9 ug/L
ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	5.9 ug/L
PCDH18	Protocadherin 18	5.9 ug/L
ARPC4	Actin related protein 2/3 complex subunit 4	5.9 ug/L
TWF2	Twinfilin actin binding protein 2	5.9 ug/L
GCLC	Glutamate-cysteine ligase catalytic subunit	5.8 ug/L
ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	5.8 ug/L
ITM2B	Integral membrane protein 2B	5.8 ug/L
CLIC4	Chloride intracellular channel 4	5.8 ug/L
CTSF	Cathepsin F	5.8 ug/L
UBE2L3	Ubiquitin conjugating enzyme E2 L3	5.8 ug/L
RAB7A	RAB7A, member RAS oncogene family	5.7 ug/L
LMNA	Lamin A/C	5.7 ug/L
SEMA3G	Semaphorin 3G	5.6 ug/L
ARSA	Arylsulfatase A	5.6 ug/L
PAMR1	Peptidase domain containing associated with muscle regeneration 1	5.6 ug/L
FTH1	Ferritin heavy chain 1	5.6 ug/L
SEZ6L2	Seizure related 6 homolog like 2	5.6 ug/L
FCMR	Fc fragment of IgM receptor	5.5 ug/L
SHH	Sonic hedgehog signaling molecule	5.5 ug/L
LIPC	Lipase C, hepatic type	5.5 ug/L
H1-2	H1.2 linker histone, cluster member	5.5 ug/L
CAPG	Capping actin protein, gelsolin like	5.4 ug/L
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	5.4 ug/L
ERP44	Endoplasmic reticulum protein 44	5.3 ug/L
SDK2	Sidekick cell adhesion molecule 2	5.3 ug/L
CD36	CD36 molecule	5.3 ug/L
LECT2	Leukocyte cell derived chemotaxin 2	5.3 ug/L
NRGN	Neurogranin	5.3 ug/L
FCAMR	Fc fragment of IgA and IgM receptor	5.3 ug/L
FAM234A	Family with sequence similarity 234 member A	5.3 ug/L
AHSP	Alpha hemoglobin stabilizing protein	5.3 ug/L
ADH5	Alcohol dehydrogenase 5 (class III), chi polypeptide	5.3 ug/L
PKLR	Pyruvate kinase L/R	5.2 ug/L
ENDOD1	Endonuclease domain containing 1	5.2 ug/L
IDH2	Isocitrate dehydrogenase (NADP(+)) 2	5.2 ug/L
DMBT1	Deleted in malignant brain tumors 1	5.2 ug/L
MGAT2	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	5.1 ug/L
PRNP	Prion protein	5.1 ug/L
AHCY	Adenosylhomocysteinase	5.0 ug/L
SEMG2	Semenogelin 2	5.0 ug/L
RIDA	Reactive intermediate imine deaminase A homolog	5.0 ug/L
ANXA5	Annexin A5	5.0 ug/L
MIF	Macrophage migration inhibitory factor	5.0 ug/L
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	4.9 ug/L
IL27RA	Interleukin 27 receptor subunit alpha	4.9 ug/L
PIP4K2A	Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	4.9 ug/L
SERPINB6	Serpin family B member 6	4.8 ug/L
GALNT6	Polypeptide N-acetylgalactosaminyltransferase 6	4.8 ug/L
CDH11	Cadherin 11	4.8 ug/L
RAB8A	RAB8A, member RAS oncogene family	4.8 ug/L
ACAA1	Acetyl-CoA acyltransferase 1	4.7 ug/L
PDIA5	Protein disulfide isomerase family A member 5	4.7 ug/L
LXN	Latexin	4.7 ug/L
CNTN6	Contactin 6	4.7 ug/L
IVL	Involucrin	4.7 ug/L
RAB8B	RAB8B, member RAS oncogene family	4.7 ug/L
GPD1	Glycerol-3-phosphate dehydrogenase 1	4.7 ug/L
AGXT	Alanine--glyoxylate and serine--pyruvate aminotransferase	4.7 ug/L
IGKV5-2	Immunoglobulin kappa variable 5-2	4.7 ug/L
FAT1	FAT atypical cadherin 1	4.6 ug/L
PTBP1	Polypyrimidine tract binding protein 1	4.5 ug/L
OBSCN	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	4.5 ug/L
WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2	4.5 ug/L
CAPZA2	Capping actin protein of muscle Z-line subunit alpha 2	4.5 ug/L
PRSS8	Serine protease 8	4.4 ug/L
TCTN3	Tectonic family member 3	4.4 ug/L
PRDX4	Peroxiredoxin 4	4.4 ug/L
ARSG	Arylsulfatase G	4.4 ug/L
INPP5D	Inositol polyphosphate-5-phosphatase D	4.4 ug/L
ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase 1	4.4 ug/L
GP1BB	Glycoprotein Ib platelet subunit beta	4.4 ug/L
DDR1	Discoidin domain receptor tyrosine kinase 1	4.4 ug/L
FSCN1	Fascin actin-bundling protein 1	4.3 ug/L
RAB10	RAB10, member RAS oncogene family	4.3 ug/L
PTPA	Protein phosphatase 2 phosphatase activator	4.3 ug/L
SEPTIN7	Septin 7	4.3 ug/L
EMILIN1	Elastin microfibril interfacer 1	4.3 ug/L
ANK1	Ankyrin 1	4.2 ug/L
GH2	Growth hormone 2	4.2 ug/L
LPL	Lipoprotein lipase	4.2 ug/L
TMEM132A	Transmembrane protein 132A	4.1 ug/L
PLAUR	Plasminogen activator, urokinase receptor	4.1 ug/L
LGALSL	Galectin like	4.1 ug/L
PCMT1	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	4.1 ug/L
CNPY3	Canopy FGF signaling regulator 3	4.1 ug/L
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	4.1 ug/L
EIF4A1	Eukaryotic translation initiation factor 4A1	4.1 ug/L
PDCD6IP	Programmed cell death 6 interacting protein	4.1 ug/L
CLEC14A	C-type lectin domain containing 14A	4.1 ug/L
ACP5	Acid phosphatase 5, tartrate resistant	4.0 ug/L
GNAI2	G protein subunit alpha i2	4.0 ug/L
NENF	Neudesin neurotrophic factor	4.0 ug/L
H1-3	H1.3 linker histone, cluster member	4.0 ug/L
RAN	RAN, member RAS oncogene family	4.0 ug/L
TCN1	Transcobalamin 1	4.0 ug/L
UGGT1	UDP-glucose glycoprotein glucosyltransferase 1	4.0 ug/L
DCHS1	Dachsous cadherin-related 1	4.0 ug/L
DCXR	Dicarbonyl and L-xylulose reductase	4.0 ug/L
LGALS7B	Galectin 7B	4.0 ug/L
MUC1	Mucin 1, cell surface associated	4.0 ug/L
LGALS7	Galectin 7	4.0 ug/L
ARF5	ADP ribosylation factor 5	3.9 ug/L
PABPC1	Poly(A) binding protein cytoplasmic 1	3.9 ug/L
SNAP23	Synaptosome associated protein 23	3.9 ug/L
RAC1	Rac family small GTPase 1	3.9 ug/L
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	3.9 ug/L
PLA2G1B	Phospholipase A2 group IB	3.9 ug/L
ARPC3	Actin related protein 2/3 complex subunit 3	3.8 ug/L
FLG	Filaggrin	3.8 ug/L
LCN1	Lipocalin 1	3.8 ug/L
ADGRL4	Adhesion G protein-coupled receptor L4	3.8 ug/L
ACAA2	Acetyl-CoA acyltransferase 2	3.8 ug/L
GAA	Glucosidase alpha, acid	3.8 ug/L
MYO1C	Myosin IC	3.8 ug/L
AKR1C4	Aldo-keto reductase family 1 member C4	3.8 ug/L
PPP1CB	Protein phosphatase 1 catalytic subunit beta	3.8 ug/L
HEPH	Hephaestin	3.7 ug/L
DSTN	Destrin, actin depolymerizing factor	3.7 ug/L
IQGAP2	IQ motif containing GTPase activating protein 2	3.7 ug/L
CDA	Cytidine deaminase	3.7 ug/L
PPIC	Peptidylprolyl isomerase C	3.7 ug/L
KLK7	Kallikrein related peptidase 7	3.7 ug/L
ME1	Malic enzyme 1	3.6 ug/L
PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	3.6 ug/L
GGT1	Gamma-glutamyltransferase 1	3.6 ug/L
CASP14	Caspase 14	3.6 ug/L
HSPA9	Heat shock protein family A (Hsp70) member 9	3.6 ug/L
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	3.6 ug/L
CCT6A	Chaperonin containing TCP1 subunit 6A	3.6 ug/L
B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	3.6 ug/L
STIP1	Stress induced phosphoprotein 1	3.6 ug/L
PPP1CA	Protein phosphatase 1 catalytic subunit alpha	3.6 ug/L
GAS6	Growth arrest specific 6	3.6 ug/L
LAP3	Leucine aminopeptidase 3	3.5 ug/L
ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	3.5 ug/L
PCK2	Phosphoenolpyruvate carboxykinase 2, mitochondrial	3.5 ug/L
LSR	Lipolysis stimulated lipoprotein receptor	3.5 ug/L
TWSG1	Twisted gastrulation BMP signaling modulator 1	3.5 ug/L
DBNL	Drebrin like	3.5 ug/L
INHBE	Inhibin subunit beta E	3.5 ug/L
CCT2	Chaperonin containing TCP1 subunit 2	3.5 ug/L
GLOD4	Glyoxalase domain containing 4	3.5 ug/L
CLEC4M	C-type lectin domain family 4 member M	3.4 ug/L
CD33	CD33 molecule	3.4 ug/L
PTPRZ1	Protein tyrosine phosphatase receptor type Z1	3.4 ug/L
TREML2	Triggering receptor expressed on myeloid cells like 2	3.4 ug/L
RTN4	Reticulon 4	3.4 ug/L
PLBD1	Phospholipase B domain containing 1	3.4 ug/L
GNG11	G protein subunit gamma 11	3.4 ug/L
ILF2	Interleukin enhancer binding factor 2	3.4 ug/L
FASN	Fatty acid synthase	3.4 ug/L
SERPINB9	Serpin family B member 9	3.4 ug/L
ADH6	Alcohol dehydrogenase 6 (class V)	3.4 ug/L
RAD23A	RAD23 homolog A, nucleotide excision repair protein	3.4 ug/L
MYO18A	Myosin XVIIIA	3.4 ug/L
ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	3.3 ug/L
ITGA6	Integrin subunit alpha 6	3.3 ug/L
PCSK1N	Proprotein convertase subtilisin/kexin type 1 inhibitor	3.3 ug/L
SYTL4	Synaptotagmin like 4	3.3 ug/L
ICAM5	Intercellular adhesion molecule 5	3.3 ug/L
HPN	Hepsin	3.3 ug/L
RAC2	Rac family small GTPase 2	3.3 ug/L
KRAS	KRAS proto-oncogene, GTPase	3.3 ug/L
AOX1	Aldehyde oxidase 1	3.3 ug/L
OLA1	Obg like ATPase 1	3.3 ug/L
HSPA13	Heat shock protein family A (Hsp70) member 13	3.3 ug/L
ITGB2	Integrin subunit beta 2	3.3 ug/L
ARPC5	Actin related protein 2/3 complex subunit 5	3.3 ug/L
PM20D1	Peptidase M20 domain containing 1	3.3 ug/L
NAXE	NAD(P)HX epimerase	3.3 ug/L
SEPTIN2	Septin 2	3.3 ug/L
CANT1	Calcium activated nucleotidase 1	3.3 ug/L
BGN	Biglycan	3.3 ug/L
SEMA4A	Semaphorin 4A	3.3 ug/L
DPYSL2	Dihydropyrimidinase like 2	3.2 ug/L
MAN2B1	Mannosidase alpha class 2B member 1	3.2 ug/L
KLK8	Kallikrein related peptidase 8	3.2 ug/L
GXYLT1	Glucoside xylosyltransferase 1	3.2 ug/L
COL14A1	Collagen type XIV alpha 1 chain	3.2 ug/L
SRC	SRC proto-oncogene, non-receptor tyrosine kinase	3.2 ug/L
MFAP5	Microfibril associated protein 5	3.2 ug/L
DPP3	Dipeptidyl peptidase 3	3.2 ug/L
CD209	CD209 molecule	3.1 ug/L
SCG3	Secretogranin III	3.1 ug/L
PSMD3	Proteasome 26S subunit, non-ATPase 3	3.1 ug/L
IL1RL1	Interleukin 1 receptor like 1	3.1 ug/L
SDC1	Syndecan 1	3.1 ug/L
B4GALT2	Beta-1,4-galactosyltransferase 2	3.1 ug/L
VGF	VGF nerve growth factor inducible	3.1 ug/L
ACLY	ATP citrate lyase	3.1 ug/L
ANGPTL4	Angiopoietin like 4	3.1 ug/L
ARF4	ADP ribosylation factor 4	3.1 ug/L
MYL4	Myosin light chain 4	3.1 ug/L
NAP1L4	Nucleosome assembly protein 1 like 4	3.1 ug/L
GPX1	Glutathione peroxidase 1	3.1 ug/L
SLURP2	Secreted LY6/PLAUR domain containing 2	3.1 ug/L
MTAP	Methylthioadenosine phosphorylase	3.0 ug/L
OLFML3	Olfactomedin like 3	3.0 ug/L
FABP3	Fatty acid binding protein 3	3.0 ug/L
CKMT2	Creatine kinase, mitochondrial 2	3.0 ug/L
NT5E	5'-nucleotidase ecto	3.0 ug/L
RAB1A	RAB1A, member RAS oncogene family	3.0 ug/L
NPEPPS	Aminopeptidase puromycin sensitive	3.0 ug/L
ALDH1L1	Aldehyde dehydrogenase 1 family member L1	3.0 ug/L
INF2	Inverted formin 2	3.0 ug/L
LCP2	Lymphocyte cytosolic protein 2	2.9 ug/L
ELN	Elastin	2.9 ug/L
SEPTIN6	Septin 6	2.9 ug/L
MPST	Mercaptopyruvate sulfurtransferase	2.9 ug/L
NEXN	Nexilin F-actin binding protein	2.9 ug/L
PLD4	Phospholipase D family member 4	2.9 ug/L
RPLP2	Ribosomal protein lateral stalk subunit P2	2.9 ug/L
KRTAP9-7	Keratin associated protein 9-7	2.9 ug/L
VMO1	Vitelline membrane outer layer 1 homolog	2.9 ug/L
PCDH9	Protocadherin 9	2.9 ug/L
C3orf85	Chromosome 3 open reading frame 85	2.9 ug/L
CCL5	C-C motif chemokine ligand 5	2.9 ug/L
HAGH	Hydroxyacylglutathione hydrolase	2.8 ug/L
CST4	Cystatin S	2.8 ug/L
GOT2	Glutamic-oxaloacetic transaminase 2	2.8 ug/L
CCN3	Cellular communication network factor 3	2.8 ug/L
SEPTIN11	Septin 11	2.8 ug/L
SORD	Sorbitol dehydrogenase	2.8 ug/L
SUMF1	Sulfatase modifying factor 1	2.8 ug/L
CNTNAP4	Contactin associated protein family member 4	2.8 ug/L
CBR3	Carbonyl reductase 3	2.8 ug/L
CAPN2	Calpain 2	2.8 ug/L
HNRNPH1	Heterogeneous nuclear ribonucleoprotein H1	2.8 ug/L
EFNA1	Ephrin A1	2.8 ug/L
HINT1	Histidine triad nucleotide binding protein 1	2.8 ug/L
TXNRD2	Thioredoxin reductase 2	2.8 ug/L
PPP1CC	Protein phosphatase 1 catalytic subunit gamma	2.8 ug/L
HMGB1	High mobility group box 1	2.8 ug/L
ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	2.8 ug/L
CDC42	Cell division cycle 42	2.7 ug/L
USP14	Ubiquitin specific peptidase 14	2.7 ug/L
OLFM2	Olfactomedin 2	2.7 ug/L
AEBP1	AE binding protein 1	2.7 ug/L
VAT1	Vesicle amine transport 1	2.7 ug/L
SELPLG	Selectin P ligand	2.7 ug/L
MACROH2A1	MacroH2A.1 histone	2.7 ug/L
RAB14	RAB14, member RAS oncogene family	2.7 ug/L
DNPEP	Aspartyl aminopeptidase	2.7 ug/L
BPIFB1	BPI fold containing family B member 1	2.7 ug/L
LRRC4B	Leucine rich repeat containing 4B	2.7 ug/L
COL4A2	Collagen type IV alpha 2 chain	2.7 ug/L
GRHPR	Glyoxylate and hydroxypyruvate reductase	2.7 ug/L
CELA2A	Chymotrypsin like elastase 2A	2.7 ug/L
LPP	LIM domain containing preferred translocation partner in lipoma	2.7 ug/L
CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8	2.7 ug/L
SMPD1	Sphingomyelin phosphodiesterase 1	2.7 ug/L
GLB1	Galactosidase beta 1	2.7 ug/L
KRTAP11-1	Keratin associated protein 11-1	2.7 ug/L
PSMB8	Proteasome 20S subunit beta 8	2.7 ug/L
SDF4	Stromal cell derived factor 4	2.6 ug/L
MXRA5	Matrix remodeling associated 5	2.6 ug/L
SLITRK3	SLIT and NTRK like family member 3	2.6 ug/L
FMOD	Fibromodulin	2.6 ug/L
UROD	Uroporphyrinogen decarboxylase	2.6 ug/L
CNDP2	Carnosine dipeptidase 2	2.6 ug/L
GALNT1	Polypeptide N-acetylgalactosaminyltransferase 1	2.6 ug/L
SPON2	Spondin 2	2.6 ug/L
SIGLEC7	Sialic acid binding Ig like lectin 7	2.6 ug/L
RNASE6	Ribonuclease A family member k6	2.6 ug/L
GP9	Glycoprotein IX platelet	2.6 ug/L
EFEMP2	EGF containing fibulin extracellular matrix protein 2	2.6 ug/L
DLK1	Delta like non-canonical Notch ligand 1	2.6 ug/L
AOC1	Amine oxidase copper containing 1	2.5 ug/L
FGFR3	Fibroblast growth factor receptor 3	2.5 ug/L
PKP1	Plakophilin 1	2.5 ug/L
TMEM40	Transmembrane protein 40	2.5 ug/L
SFRP4	Secreted frizzled related protein 4	2.5 ug/L
HSPE1	Heat shock protein family E (Hsp10) member 1	2.5 ug/L
KLK10	Kallikrein related peptidase 10	2.5 ug/L
QDPR	Quinoid dihydropteridine reductase	2.5 ug/L
RPIA	Ribose 5-phosphate isomerase A	2.5 ug/L
PCDH1	Protocadherin 1	2.5 ug/L
DEFB1	Defensin beta 1	2.5 ug/L
KLK5	Kallikrein related peptidase 5	2.5 ug/L
HNRNPF	Heterogeneous nuclear ribonucleoprotein F	2.5 ug/L
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	2.5 ug/L
EEF1G	Eukaryotic translation elongation factor 1 gamma	2.5 ug/L
PACSIN2	Protein kinase C and casein kinase substrate in neurons 2	2.4 ug/L
PTGR1	Prostaglandin reductase 1	2.4 ug/L
ADGRE5	Adhesion G protein-coupled receptor E5	2.4 ug/L
TNNI3	Troponin I3, cardiac type	2.4 ug/L
PSAT1	Phosphoserine aminotransferase 1	2.4 ug/L
FBN3	Fibrillin 3	2.4 ug/L
TMSB4Y	Thymosin beta 4 Y-linked	2.4 ug/L
DMTN	Dematin actin binding protein	2.4 ug/L
G6PD	Glucose-6-phosphate dehydrogenase	2.4 ug/L
LRRN1	Leucine rich repeat neuronal 1	2.4 ug/L
SCIN	Scinderin	2.3 ug/L
BTK	Bruton tyrosine kinase	2.3 ug/L
CLTCL1	Clathrin heavy chain like 1	2.3 ug/L
NUTF2	Nuclear transport factor 2	2.3 ug/L
SUSD1	Sushi domain containing 1	2.3 ug/L
TCP1	T-complex 1	2.3 ug/L
PLA2G12B	Phospholipase A2 group XIIB	2.3 ug/L
TNFRSF21	TNF receptor superfamily member 21	2.3 ug/L
NAPRT	Nicotinate phosphoribosyltransferase	2.3 ug/L
APEH	Acylaminoacyl-peptide hydrolase	2.3 ug/L
PA2G4	Proliferation-associated 2G4	2.3 ug/L
H1-5	H1.5 linker histone, cluster member	2.3 ug/L
FAT4	FAT atypical cadherin 4	2.3 ug/L
OTC	Ornithine carbamoyltransferase	2.2 ug/L
DCBLD2	Discoidin, CUB and LCCL domain containing 2	2.2 ug/L
NAPA	NSF attachment protein alpha	2.2 ug/L
SIAE	Sialic acid acetylesterase	2.2 ug/L
ALDH2	Aldehyde dehydrogenase 2 family member	2.2 ug/L
ANGPTL2	Angiopoietin like 2	2.2 ug/L
RAB6B	RAB6B, member RAS oncogene family	2.2 ug/L
UQCRB	Ubiquinol-cytochrome c reductase binding protein	2.2 ug/L
NFASC	Neurofascin	2.2 ug/L
VWCE	Von Willebrand factor C and EGF domains	2.2 ug/L
LTBP3	Latent transforming growth factor beta binding protein 3	2.2 ug/L
ASAH2	N-acylsphingosine amidohydrolase 2	2.2 ug/L
SERPINB2	Serpin family B member 2	2.2 ug/L
NAGA	Alpha-N-acetylgalactosaminidase	2.2 ug/L
BGLAP	Bone gamma-carboxyglutamate protein	2.2 ug/L
GGCT	Gamma-glutamylcyclotransferase	2.1 ug/L
MYDGF	Myeloid derived growth factor	2.1 ug/L
GLG1	Golgi glycoprotein 1	2.1 ug/L
PTGS1	Prostaglandin-endoperoxide synthase 1	2.1 ug/L
CRKL	CRK like proto-oncogene, adaptor protein	2.1 ug/L
ASPN	Asporin	2.1 ug/L
MEP1A	Meprin A subunit alpha	2.1 ug/L
LMNB1	Lamin B1	2.1 ug/L
